id,incident_number,campus_id,final_campus,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at,date,year,month,month_name,hour,day_of_week,is_weekend,time_bucket
1245,26BK00001,4,Beaver,01/03/2026 02:10 PM,01/03/2026 02:10 PM,01/03/2026 03:02 PM,Employee reported suspicious person,GREENHOUSE,2026-02-18 21:43:32,2026-01-03,2026,1,January,14,Saturday,True,Afternoon
1424,26BK00035,4,Beaver,02/19/2026 07:03 PM,02/19/2026 07:03 PM,02/19/2026 07:28 PM,Assisted the fire department with a reported fire alarm activation,LAUREL HALL,2026-02-21 20:58:08,2026-02-19,2026,2,February,19,Thursday,False,Evening
1454,26BK00034,4,Beaver,02/18/2026 07:07 PM,02/18/2026 07:07 PM,,Visitor reported a concern for another employee,29TH WAY N,2026-02-21 20:58:08,2026-02-18,2026,2,February,19,Wednesday,False,Evening
1517,26BK00040,4,Beaver,02/23/2026 05:46 PM,02/23/2026 05:46 PM,02/23/2026 05:58 PM,,OAKMOSS HALL,2026-02-25 02:54:48,2026-02-23,2026,2,February,17,Monday,False,Afternoon
1572,26BK00037,4,Beaver,02/21/2026 12:45 PM,02/21/2026 07:00 AM,02/21/2026 12:45 PM,Employee reported a parking concern,CLARY DR,2026-02-25 02:54:48,2026-02-21,2026,2,February,12,Saturday,True,Afternoon
1607,26BK00038,4,Beaver,02/16/2026 09:16 PM,02/16/2026 09:16 PM,02/16/2026 09:35 PM,Employee reported a person trespassing inside a residence hall,LAUREL HALL,2026-02-25 02:54:48,2026-02-16,2026,2,February,21,Monday,False,Evening
1608,26BK00039,4,Beaver,02/16/2026 03:30 PM,02/16/2026 03:30 PM,02/16/2026 04:30 PM,Employee reported a fire alarm activation,IVY HALL,2026-02-25 02:54:48,2026-02-16,2026,2,February,15,Monday,False,Afternoon
1613,26BK00036,4,Beaver,02/14/2026 10:37 AM,02/14/2026 10:37 AM,02/14/2026 11:20 AM,Assisted an outside law enforcement agency with an investigation,HILLVALE AVE & SPOHN RD,2026-02-25 02:54:48,2026-02-14,2026,2,February,10,Saturday,True,Morning
1688,26BK00042,4,Beaver,02/24/2026 12:22 PM,02/24/2026 12:50 PM,,Assisted the ambulance with a medical emergency,LUERSSEN SCIENCE BUILDING,2026-02-26 23:59:30,2026-02-24,2026,2,February,12,Tuesday,False,Afternoon
1689,26BK00041,4,Beaver,02/24/2026 11:40 AM,02/24/2026 11:40 AM,02/24/2026 11:55 AM,Employee requested assistance in locating a student,LUERSSEN SCIENCE BUILDING,2026-02-26 23:59:30,2026-02-24,2026,2,February,11,Tuesday,False,Morning
1711,26BK00043,4,Beaver,02/11/2026 09:02 AM,02/11/2026 09:02 AM,,Employee reported a parking concern,COMMUTER LOT G1 - BERKS,2026-02-26 23:59:30,2026-02-11,2026,2,February,9,Wednesday,False,Morning
